date,adjclose
2014-02-03,95.33599090576172
2014-02-04,95.3619384765625
2014-02-05,95.79439544677734
2014-02-06,107.9990005493164
2014-02-07,108.12013244628906
2014-02-10,106.66698455810547
2014-02-11,108.50067901611328
2014-02-12,108.08549499511719
2014-02-13,109.2099380493164
2014-02-14,110.14411926269531
2014-02-18,109.6683578491211
2014-02-19,108.93318176269531
2014-02-20,110.33438110351562
2014-02-21,110.64576721191406
2014-02-24,109.41756439208984
2014-02-25,108.55256652832031
2014-02-26,108.80342864990234
2014-02-27,108.14603424072266
2014-02-28,110.16140747070312
2014-03-03,109.22726440429688
2014-03-04,109.34835815429688
2014-03-05,108.63043975830078
2014-03-06,109.62515258789062
2014-03-07,109.67703247070312
2014-03-10,109.65972900390625
2014-03-11,109.79812622070312
2014-03-12,109.40888977050781
2014-03-13,107.7395248413086
2014-03-14,107.77410888671875
2014-03-17,109.24456024169922
2014-03-18,108.94178009033203
2014-03-19,107.75627136230469
2014-03-20,107.9552993774414
2014-03-21,109.32256317138672
2014-03-24,107.91199493408203
2014-03-25,106.92549133300781
2014-03-26,106.22452545166016
2014-03-27,107.2110824584961
2014-03-28,107.86875915527344
2014-03-31,109.4697036743164
2014-04-01,110.11874389648438
2014-04-02,109.78120422363281
2014-04-03,109.3831558227539
2014-04-04,105.26398468017578
2014-04-07,102.20921325683594
2014-04-08,103.11785125732422
2014-04-09,105.21204376220703
2014-04-10,102.64189147949219
2014-04-11,100.5996322631836
2014-04-14,101.42172241210938
2014-04-15,101.71595001220703
2014-04-16,103.42074584960938
2014-04-17,104.57166290283203
2014-04-21,105.05631256103516
2014-04-22,105.23802185058594
2014-04-23,105.70533752441406
2014-04-24,105.86975860595703
2014-04-25,104.38994598388672
2014-04-28,105.09091186523438
2014-04-29,103.69763946533203
2014-04-30,104.96110534667969
2014-05-01,104.69281005859375
2014-05-02,105.30724334716797
2014-05-05,104.73612213134766
2014-05-06,104.26878356933594
2014-05-07,103.3687973022461
2014-05-08,105.97358703613281
2014-05-09,107.79088592529297
2014-05-12,108.3879623413086
2014-05-13,106.79570770263672
2014-05-14,106.56202697753906
2014-05-15,107.50531005859375
2014-05-16,105.2899398803711
2014-05-19,106.26781463623047
2014-05-20,105.67066955566406
2014-05-21,106.07743072509766
2014-05-22,106.00818634033203
2014-05-23,106.6485595703125
2014-05-27,105.09091186523438
2014-05-28,104.80532836914062
2014-05-29,105.84378814697266
2014-05-30,107.45336151123047
2014-06-02,107.71300506591797
2014-06-03,108.37067413330078
2014-06-04,109.4350814819336
2014-06-05,110.27449798583984
2014-06-06,111.12255096435547
2014-06-09,110.51681518554688
2014-06-10,109.87642669677734
2014-06-11,109.15814971923828
2014-06-12,107.5485610961914
2014-06-13,107.9985580444336
2014-06-16,108.23231506347656
2014-06-17,109.04615783691406
2014-06-18,112.31017303466797
2014-06-19,111.54830932617188
2014-06-20,112.37944793701172
2014-06-23,113.13270568847656
2014-06-24,113.98983764648438
2014-06-25,112.42274475097656
2014-06-26,113.01144409179688
2014-06-27,115.56553649902344
2014-06-30,116.81232452392578
2014-07-01,116.47463989257812
2014-07-02,116.23221588134766
2014-07-03,116.82960510253906
2014-07-07,116.01579284667969
2014-07-08,114.51795196533203
2014-07-09,115.65216827392578
2014-07-10,115.28851318359375
2014-07-11,115.40104675292969
2014-07-14,116.71701049804688
2014-07-15,114.83833312988281
2014-07-16,114.12834167480469
2014-07-17,112.43138885498047
2014-07-18,112.95954132080078
2014-07-21,111.2972183227539
2014-07-22,107.48774719238281
2014-07-23,107.00288391113281
2014-07-24,109.63489532470703
2014-07-25,108.6998519897461
2014-07-28,107.7821044921875
2014-07-29,106.45745849609375
2014-07-30,107.53103637695312
2014-07-31,104.85572814941406
2014-08-01,104.81246185302734
2014-08-04,107.37516784667969
2014-08-05,107.71286010742188
2014-08-06,106.48344421386719
2014-08-07,105.49642181396484
2014-08-08,108.31891632080078
2014-08-11,108.44012451171875
2014-08-12,107.97256469726562
2014-08-13,106.43148040771484
2014-08-14,113.92918395996094
2014-08-15,113.82530975341797
2014-08-18,115.43568420410156
2014-08-19,116.03308868408203
2014-08-20,117.00276947021484
2014-08-21,116.43132781982422
2014-08-22,117.23650360107422
2014-08-25,118.03305053710938
2014-08-26,117.79931640625
2014-08-27,118.99407196044922
2014-08-28,118.96812438964844
2014-08-29,118.1109619140625
2014-09-02,119.37504577636719
2014-09-03,119.73867797851562
2014-09-04,119.71267700195312
2014-09-05,119.2711410522461
2014-09-08,118.4399642944336
2014-09-09,117.64346313476562
2014-09-10,117.66073608398438
2014-09-11,116.37938690185547
2014-09-12,115.8945541381836
2014-09-15,116.00711822509766
2014-09-16,117.24517059326172
2014-09-17,116.38766479492188
2014-09-18,115.73805236816406
