date,adjclose
2020-07-20,333.9078369140625
2020-07-21,333.3628234863281
2020-07-22,333.21240234375
2020-07-23,327.18743896484375
2020-07-24,327.0370788574219
2020-07-27,328.39056396484375
2020-07-28,322.16815185546875
2020-07-29,326.5012512207031
2020-07-30,324.9504089355469
2020-07-31,325.4955749511719
2020-08-03,327.85479736328125
2020-08-04,326.4261474609375
2020-08-05,329.0296936035156
2020-08-06,332.140869140625
2020-08-07,334.4436950683594
2020-08-10,334.857177734375
2020-08-11,334.3871765136719
2020-08-12,338.5228271484375
2020-08-13,334.5752868652344
2020-08-14,333.2875061035156
2020-08-17,334.17108154296875
2020-08-18,339.13385009765625
2020-08-19,339.23724365234375
2020-08-20,334.8384094238281
2020-08-21,334.7068176269531
2020-08-24,335.9004211425781
2020-08-25,334.61279296875
2020-08-26,334.5752868652344
2020-08-27,332.6671142578125
2020-08-28,332.4411926269531
2020-08-31,330.0672912597656
2020-09-01,330.7078552246094
2020-09-02,333.50555419921875
2020-09-03,319.49835205078125
2020-09-04,313.17779541015625
2020-09-08,303.8804931640625
2020-09-09,313.3660888671875
2020-09-10,306.1883544921875
2020-09-11,308.0627746582031
2020-09-14,314.0726318359375
2020-09-15,316.8137512207031
2020-09-16,314.7320556640625
2020-09-17,313.714599609375
2020-09-18,316.8797607421875
2020-09-21,317.2942810058594
2020-09-22,319.1404113769531
2020-09-23,311.5292663574219
2020-09-24,314.9581604003906
2020-09-25,309.34393310546875
2020-09-28,313.95013427734375
2020-09-29,314.5812683105469
2020-09-30,315.4479675292969
2020-10-01,308.96710205078125
2020-10-02,304.9355163574219
2020-10-05,304.3985290527344
2020-10-06,303.0986022949219
2020-10-07,306.4991760253906
2020-10-08,309.5323181152344
2020-10-09,308.4678955078125
2020-10-12,310.4366149902344
2020-10-13,316.0790710449219
2020-10-14,315.7870788574219
2020-10-15,318.1419372558594
2020-10-16,319.85638427734375
2020-10-19,314.55303955078125
2020-10-20,313.95953369140625
2020-10-21,313.4886779785156
2020-10-22,308.9388732910156
2020-10-23,309.4193420410156
2020-10-26,303.569580078125
2020-10-27,300.3951721191406
2020-10-28,293.1701965332031
2020-10-29,292.2470703125
2020-10-30,288.7147216796875
2020-11-02,293.12310791015625
2020-11-03,300.9416198730469
2020-11-04,308.8541564941406
2020-11-05,313.64874267578125
2020-11-06,316.3427734375
2020-11-09,298.3322448730469
2020-11-10,304.3514709472656
2020-11-11,315.70220947265625
2020-11-12,305.9151306152344
2020-11-13,309.2120666503906
2020-11-16,310.80401611328125
2020-11-17,304.4928283691406
2020-11-18,298.6618957519531
2020-11-19,299.509765625
2020-11-20,302.89141845703125
2020-11-23,300.3763732910156
