date,adjclose
2018-07-23,104.42900085449219
2018-07-24,104.59608459472656
2018-07-25,105.02299499511719
2018-07-26,105.33854675292969
2018-07-27,104.70744323730469
2018-07-30,104.13201141357422
2018-07-31,106.23881530761719
2018-08-01,106.73994445800781
2018-08-02,108.03002166748047
2018-08-03,108.35482788085938
2018-08-06,107.8443603515625
2018-08-07,107.21328735351562
2018-08-08,105.2364501953125
2018-08-09,106.4893569946289
2018-08-10,106.57288360595703
2018-08-13,106.06243896484375
2018-08-14,106.30374908447266
2018-08-15,104.87448120117188
2018-08-16,105.19933319091797
2018-08-17,105.90465545654297
2018-08-20,106.08100128173828
2018-08-21,106.75852966308594
2018-08-22,107.13902282714844
2018-08-23,107.0833511352539
2018-08-24,106.68426513671875
2018-08-27,106.814208984375
2018-08-28,106.98175048828125
2018-08-29,107.03759002685547
2018-08-30,106.33946990966797
2018-08-31,106.50702667236328
2018-09-04,105.91128540039062
2018-09-05,105.15730285644531
2018-09-06,105.50171661376953
2018-09-07,105.48310852050781
2018-09-10,105.25040435791016
2018-09-11,105.96713256835938
2018-09-12,105.51103973388672
2018-09-13,105.27830505371094
2018-09-14,107.27963256835938
2018-09-17,105.27830505371094
2018-09-18,106.62802124023438
2018-09-19,105.73442077636719
2018-09-20,106.35808563232422
2018-09-21,106.08815002441406
2018-09-24,106.21845245361328
2018-09-25,106.56289672851562
2018-09-26,105.74371337890625
2018-09-27,105.62272644042969
2018-09-28,106.48839569091797
2018-10-01,106.2650146484375
2018-10-02,104.98973846435547
2018-10-03,103.56556701660156
2018-10-04,101.75040435791016
2018-10-05,101.45254516601562
2018-10-08,100.26104736328125
2018-10-09,100.26104736328125
2018-10-10,97.7105712890625
2018-10-11,97.51508331298828
2018-10-12,98.76241302490234
2018-10-15,99.07891082763672
2018-10-16,102.60678100585938
2018-10-17,102.4020004272461
2018-10-18,101.12674713134766
2018-10-19,99.30232238769531
2018-10-22,98.37147521972656
2018-10-23,98.12015533447266
2018-10-24,99.03236389160156
2018-10-25,100.34484100341797
2018-10-26,98.50177764892578
2018-10-29,100.47515106201172
2018-10-30,100.37275695800781
2018-10-31,101.75040435791016
2018-11-01,104.04029083251953
2018-11-02,104.13337707519531
2018-11-05,104.29161834716797
2018-11-06,109.33678436279297
2018-11-07,111.59874725341797
2018-11-08,112.35272216796875
2018-11-09,112.02692413330078
2018-11-12,111.64527130126953
2018-11-13,110.34207916259766
2018-11-14,108.35942840576172
2018-11-15,109.97908782958984
2018-11-16,110.1838607788086
2018-11-19,107.74504852294922
2018-11-20,104.88737487792969
2018-11-21,105.41792297363281
2018-11-23,105.52033996582031
2018-11-26,106.15327453613281
2018-11-27,107.18960571289062
2018-11-28,111.1015396118164
2018-11-29,111.60570526123047
2018-11-30,111.17622375488281
2018-12-03,112.3245849609375
2018-12-04,111.27890014648438
2018-12-06,110.2799301147461
2018-12-07,106.37738800048828
2018-12-10,107.46037292480469
2018-12-11,106.9561996459961
2018-12-12,109.24363708496094
2018-12-13,106.84418487548828
2018-12-14,105.63980865478516
2018-12-17,103.2123794555664
2018-12-18,101.83993530273438
2018-12-19,100.96234893798828
2018-12-20,98.05876159667969
2018-12-21,95.99544525146484
2018-12-24,92.97051239013672
2018-12-26,96.48095703125
2018-12-27,97.82535552978516
2018-12-28,98.22679901123047
2018-12-31,99.75796508789062
2019-01-02,97.22784423828125
2019-01-03,94.7444076538086
2019-01-04,97.01309967041016
2019-01-07,97.22784423828125
2019-01-08,99.62726593017578
2019-01-09,100.41149139404297
2019-01-10,101.79328155517578
2019-01-11,102.69889068603516
2019-01-14,100.67290496826172
2019-01-15,102.3814697265625
2019-01-16,103.86591339111328
2019-01-17,105.17300415039062
2019-01-18,105.31303405761719
2019-01-22,105.21969604492188
2019-01-23,105.91989135742188
2019-01-24,107.13362884521484
2019-01-25,108.4220199584961
2019-01-28,107.34835815429688
2019-01-29,106.41472625732422
2019-01-30,106.09727478027344
2019-01-31,106.48941040039062
2019-02-01,107.11492919921875
2019-02-04,107.79647827148438
2019-02-05,110.2706069946289
2019-02-06,110.71875
2019-02-07,111.24156951904297
2019-02-08,110.71875
2019-02-11,111.90445709228516
2019-02-12,112.78207397460938
2019-02-13,112.21253967285156
2019-02-14,113.00611877441406
2019-02-15,114.16382598876953
2019-02-19,114.3785629272461
2019-02-20,114.69595336914062
2019-02-21,114.25717163085938
2019-02-22,114.26651763916016
2019-02-25,113.86505889892578
2019-02-26,112.87263488769531
2019-02-27,112.92881774902344
2019-02-28,113.24713897705078
2019-03-01,114.78258514404297
2019-03-04,114.24889373779297
2019-03-05,113.54676055908203
2019-03-06,112.40453338623047
2019-03-07,112.1611099243164
2019-03-08,111.57129669189453
2019-03-11,113.26585388183594
2019-03-12,114.4361801147461
2019-03-13,114.97917175292969
2019-03-14,115.67201232910156
2019-03-15,115.51283264160156
2019-03-18,115.37242126464844
2019-03-19,115.44729614257812
2019-03-20,115.36305236816406
2019-03-21,117.1793212890625
2019-03-22,115.1757583618164
2019-03-25,114.63277435302734
2019-03-26,115.38176727294922
2019-03-27,117.28231811523438
2019-03-28,118.59304809570312
2019-03-29,119.86634826660156
2019-04-01,119.30459594726562
2019-04-02,118.480712890625
2019-04-03,117.94705963134766
2019-04-04,117.78787231445312
2019-04-05,117.4695816040039
2019-04-08,117.52574920654297
2019-04-09,117.68489837646484
2019-04-10,118.35899353027344
2019-04-11,119.9318618774414
2019-04-12,120.45616149902344
2019-04-15,120.4748764038086
2019-04-16,117.21676635742188
2019-04-17,112.80709838867188
2019-04-18,114.99791717529297
2019-04-22,115.39114379882812
2019-04-23,117.70360565185547
2019-04-24,119.47312927246094
2019-04-25,119.8288803100586
2019-04-26,120.87748718261719
2019-04-29,122.01969146728516
2019-04-30,122.62825775146484
2019-05-01,123.11508178710938
2019-05-02,123.54574584960938
2019-05-03,124.73474884033203
2019-05-06,125.46502685546875
2019-05-07,122.61885070800781
2019-05-08,121.90733337402344
2019-05-09,121.6264877319336
2019-05-10,120.98983001708984
2019-05-13,117.0950698852539
2019-05-14,122.30989837646484
2019-05-15,123.04017639160156
2019-05-16,125.19354248046875
2019-05-17,124.84710693359375
2019-05-20,126.16720581054688
2019-05-21,127.14089965820312
2019-05-22,127.43110656738281
2019-05-23,126.20466613769531
2019-05-24,126.49491882324219
2019-05-28,125.3807373046875
2019-05-29,124.90331268310547
2019-05-30,124.84710693359375
2019-05-31,125.15605163574219
2019-06-03,125.52120971679688
2019-06-04,127.25323486328125
2019-06-05,128.24566650390625
2019-06-06,128.4796905517578
2019-06-07,129.2193603515625
2019-06-10,131.91566467285156
2019-06-11,131.8124542236328
2019-06-12,133.63316345214844
2019-06-13,133.1075897216797
2019-06-14,131.79367065429688
2019-06-17,133.87716674804688
2019-06-18,134.13055419921875
2019-06-19,136.1295623779297
2019-06-20,136.39234924316406
2019-06-21,136.007568359375
2019-06-24,136.36416625976562
2019-06-25,137.0868682861328
2019-06-26,136.41110229492188
2019-06-27,137.52793884277344
2019-06-28,139.72401428222656
2019-07-01,140.67190551757812
2019-07-02,141.68551635742188
2019-07-03,143.63758850097656
2019-07-05,143.3842010498047
2019-07-08,142.7178497314453
2019-07-09,143.1120147705078
2019-07-10,140.49362182617188
2019-07-11,140.98158264160156
2019-07-12,138.8793487548828
2019-07-15,139.58326721191406
2019-07-16,139.2360076904297
2019-07-17,138.74798583984375
2019-07-18,138.77615356445312
2019-07-19,137.2557373046875
2019-07-22,138.16610717773438
2019-07-23,138.2130126953125
2019-07-24,139.2360076904297
2019-07-25,138.80430603027344
2019-07-26,140.24957275390625
2019-07-29,141.09420776367188
2019-07-30,140.32469177246094
2019-07-31,139.7052764892578
2019-08-01,139.9210968017578
2019-08-02,138.79489135742188
2019-08-05,135.71665954589844
2019-08-06,142.9524688720703
2019-08-07,143.52496337890625
2019-08-08,145.1110076904297
2019-08-09,144.4728240966797
2019-08-12,144.73561096191406
2019-08-13,145.843017578125
2019-08-14,142.36123657226562
2019-08-15,142.62400817871094
2019-08-16,143.3466033935547
2019-08-19,143.78773498535156
2019-08-20,141.79812622070312
2019-08-21,141.86380004882812
2019-08-22,141.89199829101562
2019-08-23,139.32981872558594
2019-08-26,140.4185333251953
2019-08-27,143.60940551757812
2019-08-28,143.5531005859375
2019-08-29,145.59902954101562
2019-08-30,144.90452575683594
2019-09-03,142.84925842285156
2019-09-04,142.99937438964844
2019-09-05,144.0598907470703
2019-09-06,144.98904418945312
2019-09-09,136.67274475097656
2019-09-10,133.22959899902344
2019-09-11,135.94833374023438
2019-09-12,139.17515563964844
2019-09-13,135.58145141601562
2019-09-16,135.77902221679688
2019-09-17,136.87973022460938
2019-09-18,135.88255310058594
2019-09-19,137.1524658203125
2019-09-20,137.97100830078125
2019-09-23,137.69818115234375
2019-09-24,138.1121063232422
2019-09-25,138.01803588867188
2019-09-26,136.4845733642578
2019-09-27,133.38011169433594
2019-09-30,135.9296112060547
2019-10-01,132.28883361816406
2019-10-02,130.77423095703125
2019-10-03,132.84388732910156
2019-10-04,134.20799255371094
2019-10-07,133.50241088867188
2019-10-08,129.8616943359375
2019-10-09,131.17877197265625
2019-10-10,131.42333984375
2019-10-11,132.34527587890625
2019-10-14,131.78079223632812
2019-10-15,134.62193298339844
2019-10-16,133.96336364746094
2019-10-17,134.66896057128906
2019-10-18,134.87594604492188
2019-10-21,132.22300720214844
2019-10-22,128.80801391601562
2019-10-23,129.6829376220703
2019-10-24,129.25021362304688
2019-10-25,129.8334503173828
2019-10-28,131.19757080078125
2019-10-29,133.0696258544922
2019-10-30,134.2267303466797
2019-10-31,133.18260192871094
2019-11-01,133.71871948242188
2019-11-04,132.20419311523438
2019-11-05,136.86087036132812
2019-11-06,136.87030029296875
2019-11-07,136.5880584716797
2019-11-08,137.19955444335938
2019-11-11,136.11767578125
2019-11-12,136.97377014160156
2019-11-13,136.98318481445312
2019-11-14,138.04629516601562
2019-11-15,139.9371795654297
2019-11-18,140.5298614501953
2019-11-19,142.8911590576172
2019-11-20,142.87229919433594
2019-11-21,141.8939666748047
2019-11-22,142.8911590576172
2019-11-25,142.87225341796875
2019-11-26,143.0985870361328
2019-11-27,143.98504638671875
2019-11-29,142.5327606201172
2019-12-02,141.68402099609375
2019-12-03,143.41920471191406
2019-12-04,145.2959442138672
2019-12-05,144.2397003173828
2019-12-06,145.5128173828125
2019-12-09,143.85302734375
2019-12-10,145.17327880859375
2019-12-11,144.9281463623047
2019-12-12,144.90927124023438
2019-12-13,143.27777099609375
2019-12-16,142.1649932861328
2019-12-17,142.8911590576172
2019-12-18,140.75982666015625
2019-12-19,139.93939208984375
2019-12-20,141.30682373046875
2019-12-23,142.8533935546875
2019-12-24,143.37210083007812
2019-12-26,142.7308349609375
2019-12-27,143.1645965576172
2019-12-30,143.2872314453125
2019-12-31,143.7399139404297
2020-01-02,143.0608673095703
2020-01-03,142.0518035888672
2020-01-06,142.9853973388672
2020-01-07,142.43844604492188
2020-01-08,142.3535614013672
2020-01-09,143.13632202148438
2020-01-10,142.41021728515625
2020-01-13,142.91001892089844
2020-01-14,143.7304229736328
2020-01-15,143.88134765625
2020-01-16,145.3524932861328
2020-01-17,145.3524932861328
2020-01-21,145.05075073242188
