date,adjclose
2024-03-27,130.6976776123047
2024-03-28,136.174560546875
2024-04-01,141.42237854003906
2024-04-02,139.41087341308594
2024-04-03,136.76206970214844
2024-04-04,125.52953338623047
2024-04-05,122.18367767333984
2024-04-08,129.41311645507812
2024-04-09,131.6138153076172
2024-04-10,137.78775024414062
2024-04-11,135.99533081054688
2024-04-12,133.43614196777344
2024-04-15,131.1956024169922
2024-04-16,129.52267456054688
2024-04-17,134.18296813964844
2024-04-18,136.64254760742188
2024-04-19,134.53150939941406
2024-04-22,136.1147918701172
2024-04-23,147.20791625976562
2024-04-24,145.56483459472656
2024-04-25,147.68589782714844
2024-04-26,152.42587280273438
2024-04-29,158.3408660888672
2024-04-30,153.0631866455078
2024-05-01,151.03176879882812
