date,adjclose
2017-08-16,203.27615356445312
2017-08-17,200.5410919189453
2017-08-18,199.36753845214844
2017-08-21,200.4180450439453
2017-08-22,201.5821075439453
2017-08-23,196.5
2017-08-24,196.537841796875
2017-08-25,195.9131622314453
2017-08-28,196.2633819580078
2017-08-29,194.58824157714844
2017-08-30,196.45266723632812
2017-08-31,200.39913940429688
2017-09-01,199.22557067871094
2017-09-05,199.63255310058594
2017-09-06,213.3268585205078
2017-09-07,214.9641876220703
2017-09-08,220.27340698242188
2017-09-11,221.3144989013672
2017-09-12,222.90438842773438
2017-09-13,221.42803955078125
2017-09-14,221.7403106689453
2017-09-15,222.6204376220703
2017-09-18,226.8792724609375
2017-09-19,226.89813232421875
2017-09-20,224.16307067871094
2017-09-21,224.35238647460938
2017-09-22,228.8099365234375
2017-09-25,229.5575408935547
2017-09-26,227.87295532226562
2017-09-27,228.2988739013672
2017-09-28,227.59849548339844
2017-09-29,228.9991455078125
2017-10-02,231.6017608642578
2017-10-03,231.15696716308594
2017-10-04,232.8888397216797
2017-10-05,233.2106170654297
2017-10-06,232.86045837402344
2017-10-09,230.56072998046875
2017-10-10,227.5323028564453
2017-10-11,227.0306396484375
2017-10-12,227.16317749023438
2017-10-13,225.9139404296875
2017-10-16,226.2167510986328
2017-10-17,227.8540496826172
2017-10-18,227.74046325683594
2017-10-19,229.0181121826172
2017-10-20,230.03070068359375
2017-10-23,229.96450805664062
2017-10-24,228.3272705078125
2017-10-25,229.4345245361328
2017-10-26,228.36509704589844
2017-10-27,229.77520751953125
2017-10-30,224.06845092773438
2017-10-31,224.27662658691406
2017-11-01,228.7530975341797
2017-11-02,241.14144897460938
2017-11-03,242.66514587402344
2017-11-06,242.82601928710938
2017-11-07,246.3560333251953
2017-11-08,245.67466735839844
2017-11-09,243.3559112548828
2017-11-10,239.33380126953125
2017-11-13,243.1667022705078
2017-11-14,243.1193389892578
2017-11-15,242.06741333007812
2017-11-16,249.64859008789062
2017-11-17,252.27357482910156
2017-11-20,252.68116760253906
2017-11-21,253.59088134765625
2017-11-22,252.59579467773438
2017-11-24,253.69512939453125
2017-11-27,253.9130096435547
2017-11-28,256.0452575683594
2017-11-29,250.56785583496094
2017-11-30,251.61968994140625
2017-12-01,251.6765594482422
2017-12-04,239.7362518310547
2017-12-05,238.57064819335938
2017-12-06,237.00701904296875
2017-12-07,238.0399169921875
2017-12-08,239.52769470214844
2017-12-11,238.9781036376953
2017-12-12,236.779541015625
2017-12-13,238.72222900390625
2017-12-14,236.29629516601562
2017-12-15,238.96859741210938
2017-12-18,238.72222900390625
2017-12-19,240.92074584960938
2017-12-20,242.380126953125
2017-12-21,236.83645629882812
2017-12-22,236.3815460205078
2017-12-26,234.91270446777344
2017-12-27,236.58053588867188
2017-12-28,238.34315490722656
2017-12-29,235.7940216064453
2018-01-02,241.39462280273438
2018-01-03,243.2046356201172
2018-01-04,240.7123260498047
2018-01-05,244.2375030517578
